append,bad,count,good,id,images,info_list,medium,percent,videos
(4800+),(1000+),(20万+),(10万+),100008718551,(500),"外观漂亮(245),超级省电(229),送货安装(214),制冷给力(172),美观大方(143),超强静音(60),颜色漂亮(41),功能合理(40),保修期长(20),使用舒适(17),反应迅速(16),风大马力足(11),多快好省(6)",(400+),98,(1500+)
(1),(1),(200+),(40+),100032389506,(27),,(0),97,(0)
(30+),(10+),(2000+),(800+),10021814805622,(184),"超级省电(5),十分静音(3),送货安装(3),制冷给力(3),外观漂亮(3),美观大气(3),美观大方(2),风力合适(1),使用舒适(1),方便省事(1),加热效果好(1)",(2),97,(6)
(10),(9),(200+),(90+),10052962577447,(26),服务一流(1),(0),91,(3)
(3500+),(900+),(20万+),(8.4万+),100022675084,(500),"外观漂亮(52),美观大方(41),超级省电(36),送货安装(28),制冷给力(22),尺寸适宜(10),超强静音(7),不占空间(7),功能合理(5),风大马力足(2),保修期长(2),客厅适用(2),口碑很好(1)",(400+),98,(1400+)
(10+),(8),(1000+),(400+),10032961418631,(151),"美观大方(11),制冷给力(8),送货安装(7),外观漂亮(6),超级省电(4),超强静音(3),工艺精美(3),风大马力足(2),不占空间(2),保护开关(1),更为舒适(1)",(1),98,(10)
(2),(0),(200+),(30+),100032323354,(3),,(0),100,(1)
(4),(0),(200+),(40+),10039680467874,(10),"制冷给力(1),安装准时(1),制热给力(1)",(3),94,(0)
(60+),(40+),(2000+),(1300+),100010684375,(366),"制冷给力(6),安装便捷(4),外观漂亮(4),风大马力足(4),便于移动(3),方便省事(2),超级省电(1),配件齐全(1),不占空间(1)",(30+),94,(30+)
(4),(2),(200+),(50+),10039677915134,(10),安装服务好(1),(0),96,(0)
(200+),(90+),(1万+),(6000+),100021510644,(500),"外观漂亮(27),美观大方(25),超级省电(19),功能合理(18),送货安装(17),颜色漂亮(8),制冷给力(7),声音很轻(7),净化效果佳(6),风大马力足(4),使用舒适(4),口碑很好(2),老少皆宜(2)",(20+),98,(100+)
(10+),(9),(500+),(100+),10041436837958,(52),"超级省电(3),美观大方(3),不占空间(3),制冷给力(1),安装服务好(1),安装细心(1),安装师傅棒(1)",(5),92,(4)
(0),(0),(0),(0),10054763928302,(0),,(0),100,(0)
(300+),(300+),(1万+),(4500+),100039473656,(500),"不占空间(2),保修期长(1),外观漂亮(1),美观大方(1),送风舒服(1),非常好用(1)",(100+),90,(200+)
(700+),(100+),(2万+),(1.5万+),100008065307,(500),"美观大方(43),外观漂亮(32),送货安装(30),制冷给力(24),超级省电(22),十分静音(7),工艺精美(6),毫不影响(5),保修期长(5),非常好用(5),方便快捷(3),易于操控(3),运行流畅(2)",(50+),98,(100+)
(2),(0),(63),(10+),100032389484,(2),,(0),100,(0)
(700+),(100+),(2万+),(1.5万+),100020211032,(500),"外观漂亮(16),美观大方(15),送货安装(9),制冷给力(8),超级省电(4),超强静音(2),风大马力足(2),清晰度佳(2),非常好用(2),多快好省(1),分量十足(1),风格独特(1),保修期长(1)",(50+),98,(100+)
(8),(5),(500+),(100+),10042531897641,(46),"美观大方(5),超级省电(4),送货安装(3),外观漂亮(3),功能合理(2),颜色漂亮(2),声音很轻(1),制冷给力(1),清洁能力强(1),易于操控(1),噪音很小(1),年轻人适用(1)",(1),95,(4)
(4),(3),(200+),(50+),100011751213,(14),"安装快速(3),效果显著(1),超级省电(1),尺寸适宜(1)",(0),94,(1)
(10+),(6),(200+),(100+),10053686216154,(17),"安装无忧(3),服务一流(1),物流极速(1)",(0),95,(0)
(10+),(6),(1000+),(200+),10039680378967,(61),"送货安装(2),超级省电(2),外观漂亮(2),噪音很小(2),功能合理(1),制冷给力(1),升温迅速(1),柔和舒适(1),美观大方(1),简洁大方(1),制热给力(1)",(2),96,(2)
(50+),(40+),(2000+),(900+),10025368486743,(352),"超级省电(11),外观漂亮(11),美观大方(10),制冷给力(8),送货安装(6),声音很轻(4),超强静音(4),保修期长(3),非常好用(3),风大马力足(2),尺寸适宜(2),加热效果好(1)",(8),95,(10+)
(2),(0),(200+),(30+),100032304604,(3),,(0),100,(1)
(9),(7),(500+),(100+),10044875295026,(25),"送货安装(2),外观漂亮(2),效果显著(1),制冷给力(1),声音很轻(1),超级省电(1),设计合理(1),非常好用(1),尺寸适宜(1)",(0),94,(3)
(0),(0),(71),(20+),10041710731338,(0),,(0),100,(0)
(10+),(4),(500+),(100+),10040650351867,(31),"安装细心(7),制冷给力(3),美观大方(2),声音很轻(1),外观漂亮(1),超级省电(1),风大马力足(1)",(1),97,(1)
(1),(1),(200+),(40+),100028299754,(27),,(0),97,(0)
(200+),(80+),(1万+),(5600+),100010538557,(500),"超级省电(49),送货安装(41),美观大方(34),制冷给力(32),外观漂亮(32),功能合理(15),超强静音(12),保修期长(6),设计合理(6),出风温柔(5),使用舒适(4),操作便捷(2),省时便捷(2)",(30+),97,(80+)
(2),(1),(200+),(80+),10040617058379,(24),"工艺精美(2),十分静音(1),送货安装(1),颜色漂亮(1),高端大气(1),超级省电(1),安装快速(1),安装准时(1),风大马力足(1),性能优良(1)",(1),97,(0)
(700+),(100+),(2万+),(1.5万+),100024155135,(500),"颜色百搭(1),外观漂亮(1),非常好用(1)",(50+),98,(100+)
(20+),(20+),(2000+),(400+),10041789528837,(133),"送货安装(9),超级省电(9),制冷给力(8),高端大气(5),声音很轻(3),风格独特(2),外观漂亮(2),风大马力足(2),节能环保(2),夏季必备(1),非常好用(1),基本满意(1)",(3),95,(3)
(600+),(200+),(5万+),(1.7万+),100022875456,(500),"外观漂亮(23),送货安装(20),超级省电(19),制冷给力(12),美观大方(12),声音很轻(8),功能合理(7),颜色漂亮(5),易于操控(3),保修期长(2),清洁能力强(2),不占空间(1)",(80+),98,(300+)
(1),(2),(200+),(40+),10040614446290,(18),"美观大方(2),安装细心(1),安装快速(1),外观漂亮(1),不占空间(1),尺寸适宜(1)",(0),95,(1)
(700+),(100+),(2万+),(1.5万+),100014511344,(500),"美观大方(28),外观漂亮(26),送货安装(18),超级省电(12),设计精美(11),制冷给力(7),超强静音(7),易于操控(6),使用舒适(2),清洁能力强(1),耐用性佳(1)",(50+),98,(100+)
(0),(0),(100+),(20+),10040650356605,(8),"制冷给力(1),安装成功(1),工艺精美(1)",(0),100,(1)
(2700+),(300+),(20万+),(28万+),100009296773,(500),"外观漂亮(1682),美观大方(1383),超级省电(709),尺寸适宜(559),功能合理(462),利用率高(390),送货安装(320),制冷给力(313),易于操控(307),噪音很小(193),使用舒适(97),节能环保(78),家用适合(60)",(60+),99,(400+)
(10+),(9),(1000+),(200+),10041789508620,(30),"外观漂亮(4),送货安装(2),安装师负责(2),美观大方(2),安装准时(2),风格独特(1),操作便捷(1),用途广泛(1)",(5),93,(1)
(10+),(10+),(1000+),(200+),10041789490788,(49),"送货安装(7),超级省电(4),制冷给力(3),美观大方(2),功能合理(1),声音很轻(1),超强静音(1),能耗较小(1),没有问题(1),设计合理(1)",(4),92,(4)
(1),(0),(18),(8),10041710878705,(3),,(0),100,(0)
(200+),(90+),(1万+),(6000+),100021510646,(500),"外观漂亮(34),美观大方(30),送货安装(23),超级省电(17),制冷给力(15),颜色漂亮(13),功能合理(9),净化效果佳(6),声音很轻(5),超强静音(5),出风温柔(3)",(20+),98,(100+)
(4),(3),(100+),(30+),10050386358620,(9),"安装及时(1),功能合理(1),声音很轻(1),超强静音(1),安装服务好(1),安装细心(1),超级省电(1)",(1),90,(1)
(30+),(10+),(2000+),(600+),10025367994323,(126),"送货安装(11),制冷给力(5),美观大方(5),超级省电(3),功能合理(2),声音很轻(2),超强静音(2),没有杂音(2),风量可调(1),口碑很好(1),组装便捷(1),外观漂亮(1)",(10+),95,(4)
(3),(4),(200+),(90+),10040650329060,(22),"超级省电(3),外观漂亮(3),美观大方(2),送货安装(1),保护开关(1),安装成功(1),超强静音(1),安装专业(1),没有杂音(1),工艺精美(1),制热给力(1)",(0),95,(2)
(4),(1),(42),(20+),10053443258971,(21),"简洁大方(3),超级省电(2),超强静音(1),制冷给力(1),安装服务好(1),能耗较小(1),安装快速(1),风大马力足(1)",(0),96,(0)
(1100+),(70+),(10万+),(10万+),100032402786,(500),"美观大方(305),外观漂亮(300),超级省电(121),功能合理(107),易于操控(93),工艺精美(92),利用率高(89),制冷给力(45),安装师负责(41),使用舒适(26),噪音很小(25),不占空间(20),多快好省(14)",(10+),99,(100+)
(100+),(70+),(1万+),(3300+),100028610308,(500),"外观漂亮(10),超级省电(8),送货安装(7),颜色漂亮(7),制冷给力(5),功能合理(4),美观大方(4),超强静音(3),声音很轻(3),送风舒服(3),使用舒适(3),保修期长(1),自带挡风板(1)",(30+),96,(50+)
(50+),(20+),(2000+),(700+),10025366534491,(266),"安装师负责(8),外观漂亮(8),制冷给力(6),超级省电(6),美观大方(6),超强静音(3),毫不影响(2),适用性强(1),保修期长(1),加热效果好(1),振动柔和(1),设计合理(1)",(4),96,(8)
(2),(7),(89),(20+),10051605197930,(2),,(0),77,(0)
(3),(2),(200+),(30+),10041789564732,(3),外观漂亮(1),(1),91,(1)
(700+),(100+),(2万+),(1.5万+),100020211036,(500),"高端大气(6),外观漂亮(6),制冷给力(4),送货安装(3),美观大气(2),噪音很小(2),功能合理(1),平稳性好(1)",(50+),98,(100+)
(3),(1),(100+),(40+),10040628960731,(14),"外观漂亮(3),送货安装(2),超级省电(2),十分静音(1),声音很轻(1),制冷给力(1),能耗较小(1),美观大方(1),噪音很小(1)",(0),97,(5)
(20+),(10+),(2000+),(500+),10040609783216,(148),"外观漂亮(7),美观大方(7),超级省电(6),超强静音(4),制冷给力(2),送货安装(2),安装服务好(2),居家必备(1),使用方便(1),美观大气(1),使用舒适(1),快捷简便(1),剃须良好(1)",(10),95,(7)
(10+),(6),(200+),(100+),10046554604257,(17),"安装无忧(2),服务一流(2),物超所值(1)",(0),95,(0)
(10+),(6),(500+),(200+),10032958263533,(80),"外观漂亮(4),制冷给力(3),功能合理(2),安装技术好(2),超级省电(2),美观大方(2),送货安装(2),安装服务好(2),超强静音(1),节能环保(1),运行流畅(1),设计精美(1),噪音很小(1)",(1),96,(4)
(4800+),(1000+),(20万+),(10万+),100015491456,(500),"外观漂亮(39),送货安装(25),美观大方(22),超级省电(21),制冷给力(13),超强静音(6),不占空间(6),功能合理(5),美观大气(5),风大马力足(4),使用舒适(2),夏季必备(1),保修换新(1)",(400+),98,(1500+)
(100+),(30+),(5000+),(1600+),10021627867057,(500),"制冷给力(45),外观漂亮(19),安装便捷(18),便于移动(16),风大马力足(16),方便省事(12),美观大方(11),美观大气(4),使用舒适(4),声音很轻(3),不占空间(3),配件齐全(2),方便快捷(1)",(30+),95,(100+)
(3),(3),(200+),(30+),10048132822622,(9),"外观漂亮(2),够大够结实(1),超级省电(1),美观大方(1)",(1),89,(0)
(5),(8),(100+),(30+),10048546105739,(2),,(0),80,(1)
(10+),(6),(200+),(100+),10046554604258,(17),物超所值(1),(0),95,(0)
(100+),(70+),(1万+),(3300+),100028154876,(500),"外观漂亮(35),送货安装(21),超级省电(20),美观大方(19),功能合理(16),工艺精美(11),制冷给力(10),超强静音(5),声音很轻(5),使用舒适(3),保修期长(3),功率强劲(2)",(30+),96,(50+)
(2),(4),(91),(20+),10041710714207,(5),安装服务好(1),(0),84,(1)
(600+),(200+),(5万+),(1.7万+),100020575594,(500),"外观漂亮(26),美观大方(24),制冷给力(20),送货安装(15),超级省电(11),颜色漂亮(9),功能合理(6),声音很轻(4),使用舒适(4),易于操控(3),不占空间(2),保修期长(1)",(80+),98,(300+)
(9),(3),(200+),(100+),10042530492951,(57),"制冷给力(3),安装师傅棒(2),外观漂亮(2),风大马力足(2),超强静音(1),保修期长(1),没有杂音(1),超级省电(1),美观大方(1),清洁能力强(1)",(0),97,(1)
(7),(2),(200+),(40+),10044875301720,(11),"制冷给力(2),安装服务好(1),超级省电(1),清洁能力强(1),非常好用(1)",(0),96,(2)
(5),(8),(100+),(30+),10053681325104,(2),,(0),80,(1)
(1),(0),(94),(20+),10044942488577,(5),"外观漂亮(2),制冷给力(1),不占空间(1),携带方便(1)",(0),100,(1)
(10+),(6),(200+),(100+),10046554604256,(17),"服务一流(2),安装无忧(1),款式一流(1)",(0),95,(0)
(5),(2),(200+),(60+),10041072726865,(13),"功能合理(1),制冷给力(1),超级省电(1),美观大方(1),非常好用(1)",(1),95,(1)
(20+),(6),(1000+),(500+),10021776118289,(135),"外观漂亮(3),美观大方(3),送货安装(2),安装服务好(2),超级省电(2),超强静音(1),使用舒适(1),声音很轻(1),美观大气(1)",(3),98,(4)
(1),(2),(200+),(50+),10041714377530,(8),"安装服务好(1),安装师傅棒(1),超级省电(1)",(2),92,(1)
(5),(8),(100+),(30+),10048546105737,(2),"价格实惠(1),物流极速(1)",(0),80,(1)
(20+),(10+),(1000+),(300+),10041072793910,(88),"送货安装(5),安装服务好(5),超级省电(5),外观漂亮(5),制冷给力(4),声音很轻(4),美观大方(4),工艺精美(3),手感一流(1),毫不影响(1),没有异味(1),风大马力足(1)",(7),94,(7)
(1),(1),(200+),(40+),100028216462,(27),"制冷给力(2),外观漂亮(2),安装耐心(1),升温迅速(1)",(0),97,(0)
(3),(2),(200+),(60+),10040651456423,(21),"易于操控(2),送货安装(1),美观大方(1)",(4),91,(2)
(0),(0),(12),(3),10054014057482,(1),,(0),100,(0)
(600+),(200+),(5万+),(1.7万+),100021804384,(500),"外观漂亮(17),送货安装(13),美观大方(8),功能合理(7),超级省电(6),颜色漂亮(5),制冷给力(3),声音很轻(2),使用舒适(2),保修期长(2),不易受损(2),风力柔顺(1)",(80+),98,(300+)
(5),(8),(100+),(30+),10048546105738,(2),,(0),80,(1)
(1),(0),(100+),(20+),10040650368885,(14),"毫不影响(1),安装服务好(1),安装师负责(1),噪音很小(1)",(0),100,(0)
(2),(0),(200+),(30+),100018128771,(3),,(0),100,(1)
(1),(1),(22),(5),10054014025072,(2),"降温迅速(1),安装师傅棒(1)",(1),71,(0)
(0),(1),(54),(10+),10050522764860,(3),制冷给力(1),(0),92,(0)
(3),(5),(200+),(70+),10031176256302,(15),"安装师傅棒(2),力道合适(1),外观漂亮(1),易于操控(1),非常好用(1)",(1),92,(0)
(3500+),(900+),(20万+),(8.4万+),100011132911,(500),"美观大方(40),外观漂亮(35),制冷给力(21),超级省电(20),送货安装(18),超强静音(6),声音很轻(6),工艺精美(5),功能合理(3),风大马力足(3),非常好用(3)",(400+),98,(1400+)
(5),(2),(200+),(80+),10041072828332,(10),"送货安装(1),制冷给力(1),超强静音(1),安装服务好(1),安装细心(1),房间适用(1),超级省电(1),美观大方(1)",(0),97,(2)
